label,qname,family
1,kcntltcbjgvadx.net,ranbyus_v1
1,hatyixfnvkrljy.cc,ranbyus_v1
1,omxgrubodvohmx.su,ranbyus_v1
1,axbivbjhxltkev.org,ranbyus_v1
1,gyhluxegemdoee.tw,ranbyus_v1
1,ykytltpcgdslvt.org,ranbyus_v1
1,mxkqcpvgdtckqq.me,ranbyus_v1
1,eewkbnidtlscqf.pw,ranbyus_v1
1,ypfkxburtwayay.su,ranbyus_v1
1,yyvqnvadbvgihj.su,ranbyus_v1
1,ggxiavfomvhnyr.me,ranbyus_v1
1,afnbufgrgybhns.com,ranbyus_v1
1,tomsawrjefiaqi.in,ranbyus_v1
1,hrwpohiecwjoru.su,ranbyus_v1
1,emmfrgqtoubdyp.su,ranbyus_v1
1,iuumlfwntexgkm.net,ranbyus_v1
1,iylrvtothvpqqj.pw,ranbyus_v1
1,cxetywexbcrqax.tw,ranbyus_v1
1,swbubhvrpoyyrq.com,ranbyus_v1
1,blxnmjolsgyxru.su,ranbyus_v1
1,bwvgtbjepmcxsr.su,ranbyus_v1
1,wdffaxcwsqvcgd.pw,ranbyus_v1
1,rnttupjeemnddf.in,ranbyus_v1
1,wiacaolhdgtyrm.su,ranbyus_v1
1,sqpqcidphakamk.me,ranbyus_v1
1,ukbxbecgvlwxma.me,ranbyus_v1
1,ogirkhistdbdqo.org,ranbyus_v1
1,tfnqamxoybjtkd.org,ranbyus_v1
1,rtgkdmyjwhxeuu.tw,ranbyus_v1
1,wrmnskbqvmuixf.tw,ranbyus_v1
1,oflopqxuwooowg.su,ranbyus_v1
1,cqbowaochgequw.me,ranbyus_v1
1,owkhfmxycqntib.me,ranbyus_v1
1,glcagsfvhirynv.me,ranbyus_v1
1,ljrdbwxehbbpse.me,ranbyus_v1
1,cynmneywfdfsew.su,ranbyus_v1
1,yvuhtqqcruvbrv.org,ranbyus_v1
1,fdqqswfmxtlcpe.su,ranbyus_v1
1,jkrhmvuwvbbfmu.org,ranbyus_v1
1,oelqqvndgqqaim.su,ranbyus_v1
1,neremoccffgjqj.cc,ranbyus_v1
1,bfeldckeijffub.net,ranbyus_v1
1,xchyxdnxaqvtxl.cc,ranbyus_v1
1,argdxeevbcxpww.tw,ranbyus_v1
1,hqgpxuefgcudam.com,ranbyus_v1
1,rmbjxxvaljjtwf.me,ranbyus_v1
1,jvfbtcuoyleufx.tw,ranbyus_v1
1,bdmthelcqqxgdh.in,ranbyus_v1
1,xbxtspjdbaydrc.net,ranbyus_v1
1,cjeyadputcamxg.su,ranbyus_v1
1,lbeetfjmhweifr.net,ranbyus_v1
1,uhcsmehywnqffm.com,ranbyus_v1
1,fjuhyytejfghhc.su,ranbyus_v1
1,rhjgwxxhstneii.in,ranbyus_v1
1,gmtbeyivhpdwhr.tw,ranbyus_v1
1,auwlklgbsnwtai.org,ranbyus_v1
1,sqvmpimgoohjxe.net,ranbyus_v1
1,wxajqqgcdqgkco.net,ranbyus_v1
1,hmubwwrjcuktll.me,ranbyus_v1
1,mgsmevkgmbdtqr.cc,ranbyus_v1
1,emokedmvuwujvp.net,ranbyus_v1
1,iugdsfnvvvwhre.com,ranbyus_v1
1,eqpklmxatlbygt.net,ranbyus_v1
1,fdxwofeolfmvjo.net,ranbyus_v1
1,udwrhedvjmtvwv.me,ranbyus_v1
1,afgeykjmrmyxam.cc,ranbyus_v1
1,tiaoignvloyhil.org,ranbyus_v1
1,dtiotvpocckcof.com,ranbyus_v1
1,jvjnukftrirrpr.su,ranbyus_v1
1,ubslnujdeqqycf.su,ranbyus_v1
1,tkujhhogqgmwff.com,ranbyus_v1
1,makiiktjgebwry.su,ranbyus_v1
1,ivgmhllijiaigk.org,ranbyus_v1
1,xkojbgpochwlve.cc,ranbyus_v1
1,bwqwfghueemwye.in,ranbyus_v1
1,igidoccoteoljf.pw,ranbyus_v1
1,qvwmarfwokmonb.su,ranbyus_v1
1,duakuhdwejckgw.me,ranbyus_v1
1,bhpjsbmvqycjny.pw,ranbyus_v1
1,bejmsoxcuofqot.com,ranbyus_v1
1,hqgdxkgyvcjnfp.cc,ranbyus_v1
1,klcptigrqbppvo.org,ranbyus_v1
1,qetplnhsyjibup.net,ranbyus_v1
1,vuypgoevxpupkx.tw,ranbyus_v1
1,qayygewdnmciee.cc,ranbyus_v1
1,xqhormcelfacpb.me,ranbyus_v1
1,augcwkwrrviovg.cc,ranbyus_v1
1,cfvryvlcvsttyi.org,ranbyus_v1
1,dvtugjaxhoynja.pw,ranbyus_v1
1,ljtsqjpwxttmrq.tw,ranbyus_v1
1,ewtvcbxmkvntex.cc,ranbyus_v1
1,dwvtqgrlepvqxc.me,ranbyus_v1
1,rrpkdyuiboohoq.cc,ranbyus_v1
1,luqhuwcekgylbw.in,ranbyus_v1
1,euafjxodhwakle.com,ranbyus_v1
1,xmgbedlfynqdpe.com,ranbyus_v1
1,whpcslhfgjbbmu.org,ranbyus_v1
1,wmyierqbwqosus.tw,ranbyus_v1
1,tlqbhmnpcxjdca.org,ranbyus_v1
1,tkobymkiuhiodc.tw,ranbyus_v1
1,fuqfutcbrnnrcy.net,ranbyus_v1
1,oiyhaqkvqtwobb.com,ranbyus_v1
1,ilyaueksevbecr.me,ranbyus_v1
1,uercgwmqrbenew.pw,ranbyus_v1
1,divmflihvsdyxp.in,ranbyus_v1
1,quattxmqyibiwj.pw,ranbyus_v1
1,qxrjhsutcdebat.net,ranbyus_v1
1,xyyteabbpekepq.su,ranbyus_v1
1,usykwbhqfwlkok.cc,ranbyus_v1
1,jwibnqrhpyohin.net,ranbyus_v1
1,wvkciuvlqwnwwt.me,ranbyus_v1
1,acbqmgyuwapfpi.cc,ranbyus_v1
1,fbyajehttnjpke.pw,ranbyus_v1
1,skgcejlbidvyqj.com,ranbyus_v1
1,awlaybgdhhkbvr.pw,ranbyus_v1
1,bvhclweifuvxqb.su,ranbyus_v1
1,vnllwkcfyataoi.net,ranbyus_v1
1,rmqxiflxebcvcv.org,ranbyus_v1
1,kxhipqnwviqqgq.com,ranbyus_v1
1,btvrytouvdpeqx.com,ranbyus_v1
1,lyccnmhyynbdkd.pw,ranbyus_v1
1,iyiulocfvyrqtd.pw,ranbyus_v1
1,fddpdremybwofy.tw,ranbyus_v1
1,jqitmpnfswobpo.pw,ranbyus_v1
1,yhgvuwhchvsnxh.pw,ranbyus_v1
1,thsfxdemsgjknp.in,ranbyus_v1
1,sayhugiecjmduo.net,ranbyus_v1
1,cpvbuchxdpibpv.tw,ranbyus_v1
1,clujjtuwudgfve.net,ranbyus_v1
1,mulxqjldfxvqgl.com,ranbyus_v1
1,lcqqvaaarfnxwh.pw,ranbyus_v1
1,oicbdlspyyhtfw.me,ranbyus_v1
1,ukijnadcaobmqx.org,ranbyus_v1
1,sfoepmjbtwnvas.su,ranbyus_v1
1,rjkpmavmaodwej.pw,ranbyus_v1
1,qcgfkanvynhfoy.org,ranbyus_v1
1,qocdxixotklhmy.com,ranbyus_v1
1,gxjobyglaehjvs.org,ranbyus_v1
1,dknsroxpuvhiwd.tw,ranbyus_v1
1,nuobwyrpmoomyy.tw,ranbyus_v1
1,udokkoxuyylcyg.in,ranbyus_v1
1,ddstcnijelyemi.tw,ranbyus_v1
1,rblbijmwqxbjgu.pw,ranbyus_v1
1,rcjiuqseewphgl.su,ranbyus_v1
1,didjvvvuoeopde.org,ranbyus_v1
1,uskityvnjnlqyl.in,ranbyus_v1
1,qatqawdetuwpyr.me,ranbyus_v1
1,jrmrbsepwigqhk.su,ranbyus_v1
1,fuhweygqdpbtkd.pw,ranbyus_v1
1,fkqcwwlpfqdrht.me,ranbyus_v1
1,vsobxmmaoyxngl.org,ranbyus_v1
